Digit,Cost,Win or Fail
7,0.0001,win
2,0.7441000000000002,fail
1,0.0,win
0,0.0001,win
4,0.0017000000000000001,win
1,0.0001,win
4,0.0092,win
9,0.12510000000000002,win
5,1.4585000000000001,fail
9,0.157,win
0,0.0015,win
6,0.0040999999999999995,win
9,0.0014,win
0,0.0006000000000000001,win
1,0.001,win
5,0.0009000000000000001,win
9,0.0015,win
7,0.0005,win
3,0.9418,fail
4,0.008,win
9,0.17650000000000002,win
6,0.0006000000000000001,win
6,0.11880000000000002,win
5,0.006500000000000001,win
4,0.004200000000000001,win
0,0.0,win
7,0.0006000000000000001,win
4,0.0037999999999999996,win
0,0.0002,win
1,0.0045000000000000005,win
3,0.0037999999999999996,win
1,0.001,win
3,0.0001,win
4,0.6383,fail
7,0.0039,win
2,0.0006000000000000001,win
7,0.0011,win
1,0.0001,win
2,0.10940000000000001,win
1,0.005,win
1,0.0011,win
7,0.00030000000000000003,win
4,0.0026999999999999997,win
2,0.0951,win
3,0.008,win
5,0.08510000000000002,win
1,0.1174,win
2,0.001,win
4,0.030600000000000002,win
4,0.007800000000000001,win
6,0.0067,win
3,0.014799999999999997,win
5,0.005000000000000001,win
5,0.0166,win
6,0.00030000000000000003,win
0,0.055400000000000005,win
4,0.04489999999999999,win
1,0.0,win
9,0.030600000000000006,win
5,0.006500000000000001,win
7,0.003,win
8,0.19619999999999999,win
9,0.16899999999999998,win
3,0.23889999999999997,win
7,0.008,win
4,0.7088000000000001,fail
6,1.4886,fail
4,0.012199999999999999,win
3,0.5837,win
0,0.0011,win
7,0.0002,win
0,0.0001,win
2,0.0086,win
9,0.0991,win
1,0.0015,win
7,0.17340000000000003,win
3,0.001,win
2,1.4142000000000001,fail
9,0.0027,win
7,0.0001,win
7,0.0002,win
6,0.0006000000000000001,win
2,0.0002,win
7,0.005000000000000001,win
8,0.18980000000000005,win
4,0.0021000000000000003,win
7,0.0001,win
3,0.020600000000000004,win
6,0.0,win
1,0.0001,win
3,0.005400000000000001,win
6,0.0,win
9,0.9786999999999999,fail
3,0.0006000000000000001,win
1,0.011400000000000002,win
4,0.8242,fail
1,0.0319,win
7,0.7961999999999999,fail
6,0.3682000000000001,win
9,0.0007000000000000001,win
6,0.0,win
0,0.0006000000000000001,win
5,0.0011,win
4,0.0084,win
9,0.6583000000000001,win
9,0.006500000000000001,win
2,0.00030000000000000003,win
1,0.0005,win
9,0.0011,win
4,0.09690000000000001,win
8,0.0001,win
7,0.18959999999999996,win
3,0.00030000000000000003,win
9,0.0026,win
7,0.0077,win
4,0.6231,fail
4,0.0245,win
4,0.0004,win
9,0.0163,win
2,1.4258,fail
5,0.0027,win
4,0.3924000000000001,win
7,0.017400000000000002,win
6,0.0005,win
7,0.7970999999999999,fail
9,0.45300000000000007,win
0,0.9070999999999999,fail
5,0.0008,win
8,0.0044,win
5,0.001,win
6,0.0001,win
6,0.0001,win
5,0.011,win
7,0.0166,win
8,0.0002,win
1,0.0002,win
0,0.0001,win
1,0.0001,win
6,0.0,win
4,0.8727,fail
6,0.0165,win
7,0.0001,win
3,0.11270000000000002,win
1,0.0,win
7,0.0014,win
1,0.0073,win
8,0.0006000000000000001,win
2,0.0002,win
0,0.0,win
2,0.9518,fail
9,0.0018000000000000002,win
9,1.0455999999999999,fail
5,0.075,win
5,0.011900000000000003,win
1,0.0014,win
5,0.0006000000000000001,win
6,0.0086,win
0,0.0029000000000000007,win
3,0.32989999999999997,win
4,0.1306,win
4,0.0015,win
6,0.0001,win
5,0.0011,win
4,0.0014,win
6,0.0005,win
5,0.009400000000000002,win
4,0.0034000000000000002,win
5,0.27740000000000004,win
1,0.00030000000000000003,win
4,0.0015,win
4,0.0005,win
7,0.0103,win
2,0.349,win
3,0.017900000000000003,win
2,0.0002,win
7,0.06760000000000001,win
1,0.0004,win
8,0.0043,win
1,0.0001,win
8,0.0011,win
1,0.0002,win
8,0.0061,win
5,0.00030000000000000003,win
0,0.00030000000000000003,win
8,0.006700000000000001,win
9,0.060100000000000015,win
2,0.8716000000000002,fail
5,0.1734,win
0,0.0001,win
1,0.012600000000000002,win
1,0.0009,win
1,0.09340000000000002,win
0,0.0005,win
9,0.2382,win
0,0.00030000000000000003,win
3,0.95,fail
1,0.13040000000000002,win
6,0.0027000000000000006,win
4,0.0006000000000000001,win
2,0.017,win
3,0.13149999999999998,win
6,0.00030000000000000003,win
1,0.0001,win
1,0.0001,win
1,0.0001,win
3,0.0001,win
9,0.004200000000000001,win
5,0.0013,win
2,0.0002,win
9,0.2911,win
4,0.0012000000000000001,win
5,0.0043,win
9,0.2441,win
3,0.49999999999999994,win
9,0.0074,win
0,0.0004,win
3,0.00030000000000000003,win
6,0.6324,fail
5,0.0365,win
5,0.0013000000000000002,win
7,0.0409,win
2,0.0141,win
2,0.0015,win
7,0.001,win
1,0.0,win
2,0.0687,win
8,0.0006000000000000001,win
4,0.0001,win
1,0.0001,win
7,0.0001,win
3,0.0006000000000000001,win
3,0.0046,win
8,0.006200000000000001,win
8,1.1839,fail
7,0.013600000000000003,win
9,0.0073,win
2,0.0028000000000000004,win
2,0.0001,win
4,0.001,win
1,0.0001,win
5,0.013000000000000003,win
9,1.855,fail
8,0.005700000000000001,win
7,0.22260000000000002,win
2,0.005100000000000001,win
3,1.7399999999999998,fail
0,0.001,win
4,1.4912999999999998,fail
4,0.0055000000000000005,win
2,0.0009,win
4,0.23720000000000002,win
1,0.069,win
9,0.0025,win
5,0.0015,win
7,0.00030000000000000003,win
7,0.21030000000000001,win
2,0.014799999999999999,win
8,0.0549,win
2,0.0016,win
6,1.8108,fail
8,0.0079,win
5,1.1761,fail
7,0.0001,win
7,0.0001,win
9,0.3927,win
1,0.0004,win
8,0.12180000000000002,win
1,0.0001,win
8,0.1502,win
0,0.008599999999999998,win
3,0.052000000000000005,win
0,0.0001,win
1,0.00030000000000000003,win
9,0.027300000000000005,win
9,0.0074,win
4,0.049900000000000014,win
1,0.0,win
8,0.0011,win
2,0.00030000000000000003,win
1,0.0001,win
2,0.010400000000000001,win
9,0.0016,win
7,0.08490000000000002,win
5,0.0002,win
9,0.0026,win
2,0.0002,win
6,0.0122,win
4,0.30490000000000006,win
1,0.0,win
5,0.009700000000000002,win
8,0.0807,win
2,0.0618,win
9,0.00030000000000000003,win
2,0.0005,win
0,0.0002,win
4,0.0031000000000000003,win
0,0.0001,win
0,0.0027,win
2,0.005000000000000001,win
8,0.005400000000000001,win
4,1.2163,fail
7,0.056200000000000014,win
1,0.0004,win
2,0.29850000000000004,win
4,0.006600000000000001,win
0,0.0497,win
2,0.0015,win
7,0.0018,win
4,0.061399999999999996,win
3,0.04569999999999999,win
3,0.001,win
0,0.0,win
0,0.0004,win
3,1.6595,fail
1,0.0001,win
9,0.009000000000000001,win
6,0.0066,win
5,0.0382,win
2,1.2843000000000002,fail
5,0.10350000000000001,win
9,0.32899999999999996,win
2,1.2308,fail
9,0.03400000000000001,win
3,0.0002,win
0,0.31300000000000006,win
4,0.373,win
2,0.0075000000000000015,win
0,0.0,win
7,0.0102,win
1,0.0001,win
1,0.0002,win
2,0.13069999999999998,win
1,0.0005,win
5,0.1251,win
3,0.0027,win
3,0.9263000000000002,fail
9,0.03610000000000001,win
7,0.0002,win
8,0.1102,win
6,0.024600000000000004,win
5,1.0229,fail
6,1.8267,fail
1,0.0001,win
3,0.005900000000000001,win
8,0.0097,win
1,0.00030000000000000003,win
0,0.002,win
5,0.9281999999999999,fail
1,0.0,win
3,0.2803,win
1,0.0009,win
5,0.0002,win
5,1.1758,fail
6,0.0106,win
1,0.0022,win
8,0.0002,win
5,0.0019000000000000002,win
1,0.0002,win
7,1.5506,fail
9,0.49050000000000005,win
4,0.008,win
6,0.0001,win
2,1.4682,fail
2,0.0118,win
5,0.0006000000000000001,win
0,0.0031,win
6,0.9246999999999999,fail
5,0.004200000000000001,win
6,0.0018000000000000002,win
3,0.0017,win
7,0.0393,win
2,0.0053,win
0,0.001,win
8,0.0037999999999999996,win
8,0.0026,win
5,0.0044,win
4,0.8764,fail
1,0.0001,win
1,0.0002,win
4,0.09540000000000001,win
0,0.24089999999999998,win
3,1.7315,fail
3,0.0019,win
7,0.0014,win
6,0.0001,win
1,0.0,win
6,0.41090000000000004,win
2,0.0005,win
1,0.0002,win
9,0.22,win
2,0.0006000000000000001,win
8,0.0013,win
6,0.0001,win
1,0.0001,win
9,0.007800000000000001,win
5,0.0021000000000000003,win
2,0.0036999999999999997,win
5,0.007500000000000001,win
4,0.006600000000000001,win
4,0.012600000000000002,win
2,0.0012000000000000001,win
8,0.009399999999999999,win
3,0.009,win
8,0.32380000000000003,win
2,0.04340000000000001,win
4,0.0121,win
5,0.29200000000000004,win
0,0.0002,win
3,0.0012000000000000001,win
1,0.0007,win
7,0.0026000000000000003,win
7,0.015299999999999998,win
5,1.5791,fail
7,0.0,win
9,0.0123,win
7,0.0001,win
1,0.0001,win
9,0.0167,win
2,0.0004,win
1,0.0001,win
4,0.002,win
2,0.26230000000000003,win
9,0.0011,win
2,0.0022,win
0,0.001,win
4,0.0028,win
9,0.0029000000000000007,win
1,0.00030000000000000003,win
4,0.4022,win
8,0.0009,win
1,0.0002,win
8,0.0022,win
4,0.0594,win
5,0.1414,win
9,0.1061,win
8,0.6832,fail
8,0.0005,win
3,0.0060999999999999995,win
7,0.0005,win
6,0.0005,win
0,0.0004,win
0,0.0,win
3,0.0017000000000000001,win
0,0.22929999999999995,win
2,1.6395,fail
6,1.9411,fail
6,0.001,win
4,0.9973,fail
9,0.1983,win
3,0.9279999999999999,fail
3,0.2146,win
3,0.0036000000000000003,win
2,0.0030000000000000005,win
3,0.00030000000000000003,win
9,0.0018,win
1,0.0001,win
2,0.04070000000000001,win
6,0.27949999999999997,win
8,0.0002,win
0,0.0067,win
5,0.0011,win
6,0.0002,win
6,0.0012000000000000001,win
6,0.0,win
3,0.9797,fail
8,0.1131,win
8,0.0,win
2,0.025900000000000006,win
7,0.6880000000000001,win
5,0.0207,win
8,0.0002,win
9,0.005,win
6,0.00030000000000000003,win
1,0.0246,win
8,0.0028000000000000004,win
4,0.004400000000000001,win
1,0.0002,win
2,0.0002,win
5,0.7142,win
9,1.8282,fail
1,0.00030000000000000003,win
9,0.0002,win
7,0.19069999999999998,win
5,0.3154,win
4,0.0031000000000000003,win
0,0.0001,win
8,0.030100000000000002,win
9,0.0163,win
9,0.6706000000000001,fail
1,0.0,win
0,0.0692,win
5,0.0077,win
2,0.44450000000000006,win
3,0.0012000000000000001,win
7,0.0,win
8,0.9332,fail
9,0.0004,win
4,0.006600000000000001,win
0,0.0029,win
6,0.0366,win
3,0.0002,win
9,0.015499999999999998,win
5,0.4158,win
2,0.0,win
1,0.0005,win
3,0.0654,win
1,0.0001,win
3,0.7373,fail
6,0.2299,win
5,0.0029000000000000007,win
7,0.001,win
4,0.8929999999999999,fail
2,0.0023,win
2,0.0018000000000000002,win
6,0.3529,win
3,0.3515,win
2,0.44520000000000004,win
6,0.0,win
5,0.0043,win
4,0.17469999999999994,win
8,0.002,win
9,0.009199999999999998,win
7,0.024600000000000004,win
1,0.056600000000000004,win
3,0.003,win
0,0.0006000000000000001,win
3,0.06409999999999999,win
8,0.07360000000000001,win
3,0.9612,fail
1,0.0002,win
9,0.032200000000000006,win
3,1.3461999999999998,fail
4,0.007,win
4,0.0039000000000000007,win
6,0.0002,win
4,0.0025000000000000005,win
2,0.1396,win
1,0.0002,win
