Digit,Cost,Win or Fail
7,0.0021000000000000003,win
2,0.0171,win
1,0.0001,win
0,0.0006000000000000001,win
4,0.1091,win
1,0.0004,win
4,0.2602,win
9,0.04340000000000001,win
5,1.7530999999999999,fail
9,0.031400000000000004,win
0,0.0021000000000000003,win
6,0.005600000000000001,win
9,0.004600000000000001,win
0,0.002,win
1,0.0028000000000000004,win
5,0.19449999999999998,win
9,0.0045,win
7,0.0038000000000000004,win
3,1.2325999999999997,fail
4,0.0013,win
9,0.9526,fail
6,0.0091,win
6,0.0022,win
5,0.0005,win
4,0.0131,win
0,0.0029,win
7,0.033,win
4,0.0026,win
0,0.0038000000000000004,win
1,0.00030000000000000003,win
3,0.0122,win
1,0.0002,win
3,0.001,win
4,1.8112000000000001,fail
7,0.0016,win
2,0.001,win
7,0.0038,win
1,0.00030000000000000003,win
2,0.3159,win
1,0.0013,win
1,0.00030000000000000003,win
7,0.012100000000000003,win
4,0.0019,win
2,0.5069,win
3,0.2007,win
5,0.0044,win
1,0.0071,win
2,0.06430000000000001,win
4,0.014100000000000003,win
4,0.0053,win
6,0.0006000000000000001,win
3,0.005900000000000001,win
5,0.0011,win
5,0.032200000000000006,win
6,0.0007000000000000001,win
0,0.0011,win
4,0.0038000000000000004,win
1,0.0004,win
9,0.0021999999999999997,win
5,0.0004,win
7,0.0031000000000000003,win
8,0.0478,win
9,1.2134,fail
3,0.6209999999999999,fail
7,0.4094,win
4,0.1731,win
6,0.34909999999999997,win
4,0.0251,win
3,0.0036999999999999997,win
0,0.006200000000000001,win
7,0.005699999999999999,win
0,0.0014,win
2,0.0044,win
9,1.3396,fail
1,0.00030000000000000003,win
7,0.022700000000000005,win
3,0.00030000000000000003,win
2,1.1499,fail
9,0.1079,win
7,0.0014,win
7,0.5254000000000001,win
6,0.001,win
2,0.0001,win
7,0.0707,win
8,0.0087,win
4,0.015200000000000002,win
7,0.0008000000000000001,win
3,0.2601,win
6,0.0006000000000000001,win
1,0.0001,win
3,0.0784,win
6,0.0006000000000000001,win
9,0.9512999999999999,fail
3,0.0207,win
1,0.0022,win
4,0.3286,win
1,0.0138,win
7,1.2803999999999998,fail
6,0.7821,fail
9,0.006100000000000001,win
6,0.0026,win
0,0.0659,win
5,0.002,win
4,0.1898,win
9,0.048400000000000006,win
9,0.0030000000000000005,win
2,0.0014,win
1,0.054900000000000004,win
9,0.005,win
4,0.0073,win
8,0.0011,win
7,0.1203,win
3,0.0019,win
9,0.0050999999999999995,win
7,0.0023,win
4,0.005900000000000001,win
4,0.0114,win
4,0.004699999999999999,win
9,0.0044,win
2,1.1271,fail
5,0.5713000000000001,win
4,0.083,win
7,0.025600000000000005,win
6,0.001,win
7,1.8651,fail
9,0.021400000000000002,win
0,0.5928,win
5,0.00030000000000000003,win
8,0.0004,win
5,0.0234,win
6,0.0007000000000000001,win
6,0.0012000000000000001,win
5,0.0044,win
7,0.0122,win
8,0.0012000000000000001,win
1,0.0015,win
0,0.0011,win
1,0.0008,win
6,0.0001,win
4,0.17080000000000004,win
6,0.0104,win
7,0.009000000000000001,win
3,0.0779,win
1,0.0001,win
7,0.37300000000000005,win
1,0.0006000000000000001,win
8,0.0004,win
2,0.00030000000000000003,win
0,0.0006000000000000001,win
2,1.0858999999999999,fail
9,0.039599999999999996,win
9,1.7222,fail
5,0.0021000000000000003,win
5,0.0204,win
1,0.0002,win
5,0.0359,win
6,0.0019,win
0,0.0006000000000000001,win
3,0.0106,win
4,0.1977,win
4,0.0019,win
6,0.00030000000000000003,win
5,0.0007000000000000001,win
4,0.0014,win
6,0.0022999999999999995,win
5,0.020700000000000003,win
4,0.0227,win
5,0.013499999999999998,win
1,0.00030000000000000003,win
4,0.0053,win
4,0.04100000000000001,win
7,0.0019,win
2,0.0058000000000000005,win
3,0.0069,win
2,0.0012000000000000001,win
7,0.1493,win
1,0.0002,win
8,0.0008000000000000001,win
1,0.0002,win
8,0.0006000000000000001,win
1,0.0005,win
8,0.0007000000000000001,win
5,0.001,win
0,0.002,win
8,0.0243,win
9,0.042600000000000006,win
2,0.0044,win
5,0.186,win
0,0.0006000000000000001,win
1,0.0144,win
1,0.0031999999999999997,win
1,0.0045000000000000005,win
0,0.0006000000000000001,win
9,0.31,win
0,0.0007000000000000001,win
3,0.7744000000000001,fail
1,0.0027,win
6,0.0006000000000000001,win
4,0.0131,win
2,0.0015,win
3,0.16499999999999998,win
6,0.00030000000000000003,win
1,0.0001,win
1,0.0002,win
1,0.00030000000000000003,win
3,0.00030000000000000003,win
9,0.18980000000000005,win
5,0.0061,win
2,0.0001,win
9,0.0031,win
4,0.034100000000000005,win
5,0.5209000000000001,win
9,0.004200000000000001,win
3,0.0038999999999999994,win
