Digit,Cost,Win or Fail
7,0.0148,win
2,0.1043,win
1,0.0015000000000000002,win
0,0.0081,win
4,0.0552,win
1,0.0021,win
4,0.1625,win
9,1.0204,fail
5,1.0112999999999999,fail
9,0.2728,win
0,0.0071,win
6,0.07340000000000002,win
9,0.2059,win
0,0.0032,win
1,0.002,win
5,0.8275999999999999,fail
9,0.12610000000000002,win
7,0.0142,win
3,1.0731,fail
4,0.06960000000000001,win
9,1.3706,fail
6,0.0251,win
6,0.018300000000000004,win
5,0.593,win
4,0.176,win
0,0.011100000000000002,win
7,0.021800000000000003,win
4,0.040100000000000004,win
0,0.004200000000000001,win
1,0.002,win
3,0.10020000000000001,win
1,0.0055000000000000005,win
3,0.0788,win
4,1.7596,fail
7,0.012900000000000002,win
2,0.009,win
7,0.0106,win
1,0.0015,win
2,0.28919999999999996,win
1,0.0018000000000000002,win
1,0.0036,win
7,0.06760000000000001,win
4,0.0499,win
2,0.789,win
3,0.38980000000000004,win
5,0.014899999999999998,win
1,0.08870000000000001,win
2,0.0767,win
4,0.09310000000000002,win
4,0.10060000000000001,win
6,0.032200000000000006,win
3,0.0298,win
5,0.0062000000000000015,win
5,0.5952000000000001,win
6,0.26189999999999997,win
0,0.022900000000000004,win
4,0.027800000000000002,win
1,0.0051,win
9,0.0596,win
5,0.08140000000000001,win
7,0.012200000000000003,win
8,0.7357,fail
9,0.6592,fail
3,1.7757,fail
7,0.9771,fail
4,0.3416,win
6,1.0772,fail
4,0.024499999999999997,win
3,0.0168,win
0,0.0071,win
7,0.0376,win
0,0.004600000000000001,win
2,0.6925999999999999,fail
9,1.1061,fail
1,0.002,win
7,0.30140000000000006,win
3,0.1047,win
2,0.9012,fail
9,0.6136,fail
7,0.0217,win
7,1.4189000000000003,fail
6,0.03860000000000001,win
2,0.0013,win
7,0.20100000000000004,win
8,0.35829999999999995,win
4,0.033100000000000004,win
7,0.0167,win
3,0.35200000000000004,win
6,0.0181,win
1,0.0023,win
3,0.17490000000000006,win
6,0.011300000000000001,win
9,1.1022,fail
3,0.11589999999999999,win
1,0.0021,win
4,0.21830000000000002,win
1,0.09979999999999999,win
7,1.3942,fail
6,0.813,fail
9,0.08990000000000001,win
6,0.007200000000000001,win
0,0.0219,win
5,0.0136,win
4,0.0645,win
9,1.005,fail
9,0.12910000000000002,win
2,0.15760000000000002,win
1,0.021500000000000002,win
9,0.3355,win
4,0.2267,win
8,0.6998,win
7,0.6413,fail
3,0.2748,win
9,0.1472,win
7,0.028,win
4,0.04850000000000001,win
4,0.1825,win
4,0.0356,win
9,0.1344,win
2,0.9648,fail
5,0.5056999999999999,win
4,0.19310000000000002,win
7,0.038200000000000005,win
6,0.008,win
7,1.8072,fail
9,0.7031,fail
0,1.0369,fail
5,0.0159,win
8,0.020900000000000002,win
5,0.0371,win
6,0.015199999999999997,win
6,0.0706,win
5,0.5262,win
7,0.24870000000000003,win
8,0.0506,win
1,0.0021,win
0,0.04659999999999999,win
1,0.007,win
6,0.0039000000000000007,win
4,0.5736,fail
6,0.0641,win
7,0.015899999999999997,win
3,0.7754000000000001,fail
1,0.0021,win
7,0.3025,win
1,0.0041,win
8,0.015600000000000003,win
2,0.004700000000000001,win
0,0.005200000000000001,win
2,0.5666,fail
9,0.9131,fail
9,1.4862000000000002,fail
5,0.0164,win
5,0.2867,win
1,0.0054,win
5,0.20349999999999996,win
6,0.017400000000000002,win
0,0.0144,win
3,0.2099,win
4,0.4137,win
4,0.041800000000000004,win
6,0.0622,win
5,0.0158,win
4,0.014099999999999998,win
6,0.0182,win
5,0.10619999999999999,win
4,0.1421,win
5,0.1664,win
1,0.0009000000000000001,win
4,0.23249999999999998,win
4,0.24310000000000004,win
7,0.020800000000000003,win
2,0.8783000000000001,fail
3,0.19519999999999998,win
2,0.006300000000000001,win
7,1.3998,fail
1,0.0013000000000000002,win
8,0.025300000000000003,win
1,0.0013000000000000002,win
8,0.0662,win
1,0.005600000000000001,win
8,0.117,win
5,0.0931,win
0,0.0054,win
8,0.2961,win
9,0.25849999999999995,win
2,0.0895,win
5,0.34550000000000003,win
0,0.018000000000000002,win
1,0.03870000000000001,win
1,0.013200000000000002,win
1,0.1233,win
0,0.1192,win
9,0.6632,fail
0,0.0071,win
3,0.7967000000000002,fail
1,0.024100000000000003,win
6,0.0316,win
4,0.0761,win
2,0.0074,win
3,0.3215,win
6,0.008699999999999998,win
1,0.003,win
1,0.0013000000000000002,win
1,0.0015,win
3,0.0353,win
9,0.6150000000000001,fail
5,0.11870000000000001,win
2,0.2139,win
9,0.10290000000000002,win
4,0.0479,win
5,0.8184,fail
9,0.2453,win
3,0.5530999999999999,win
9,0.0706,win
0,0.1575,win
3,0.025900000000000003,win
6,0.0407,win
5,0.06330000000000001,win
5,0.028499999999999998,win
7,0.15630000000000002,win
2,0.010000000000000002,win
2,0.5085000000000001,win
7,0.009000000000000001,win
1,0.020300000000000002,win
2,0.0664,win
8,0.0928,win
4,0.5327999999999999,win
1,0.003,win
7,0.0094,win
3,0.3406,win
3,0.1129,win
8,0.19770000000000001,win
8,1.3408,fail
7,0.0363,win
9,0.2341,win
2,0.005,win
2,0.011699999999999999,win
4,0.0379,win
1,0.0013000000000000002,win
5,0.3904,win
9,1.0479,fail
8,0.5348,win
7,0.9424999999999999,fail
2,0.7092999999999999,fail
3,0.8505999999999999,fail
0,0.0035,win
4,0.31560000000000005,win
4,0.14240000000000003,win
2,0.22139999999999999,win
4,0.114,win
1,0.39270000000000005,win
9,0.1015,win
5,0.08560000000000001,win
7,0.0111,win
7,0.0687,win
2,0.11670000000000003,win
8,0.7656000000000001,fail
2,0.3875,win
6,1.555,fail
8,0.1172,win
5,0.2026,win
7,0.0137,win
7,0.009700000000000002,win
9,0.7455,fail
1,0.0009000000000000002,win
8,0.5307000000000001,win
1,0.0009000000000000002,win
8,1.1171,fail
0,0.0968,win
3,0.12340000000000001,win
0,0.006100000000000001,win
1,0.0009000000000000001,win
9,0.21580000000000002,win
9,0.8322999999999999,fail
4,0.1864,win
1,0.0021,win
8,0.18739999999999998,win
2,0.10570000000000002,win
1,0.0047,win
2,0.11780000000000002,win
9,0.30710000000000004,win
7,0.47170000000000006,win
5,0.008899999999999998,win
9,0.09590000000000001,win
2,0.5659,win
6,0.0666,win
4,0.0732,win
1,0.0299,win
5,1.0062,fail
8,1.1895,fail
2,0.7787,win
9,0.7119,fail
2,0.0018000000000000002,win
0,0.007999999999999998,win
4,0.0387,win
0,0.004200000000000001,win
0,0.04410000000000001,win
2,0.09690000000000001,win
8,0.8607999999999999,fail
4,1.1996,fail
7,0.18809999999999996,win
1,0.0013000000000000002,win
2,0.4535,win
4,0.25470000000000004,win
0,0.7452000000000001,fail
2,0.11230000000000001,win
7,0.629,win
4,0.027299999999999998,win
3,0.09469999999999999,win
3,0.27969999999999995,win
0,0.004700000000000001,win
0,0.037500000000000006,win
3,0.40160000000000007,win
1,0.001,win
9,0.7997000000000001,fail
6,0.0043,win
5,0.8862000000000001,fail
2,0.8868000000000001,fail
5,0.27669999999999995,win
9,1.6093000000000002,fail
2,1.3402,fail
9,0.0533,win
3,0.0331,win
0,0.11660000000000001,win
4,0.9185,fail
2,0.3914,win
0,0.0078,win
7,0.035100000000000006,win
1,0.0013000000000000002,win
1,0.0009000000000000002,win
2,0.2694,win
1,0.002,win
5,0.08710000000000001,win
3,0.0084,win
3,0.07840000000000001,win
9,1.1254,fail
7,0.0111,win
8,0.9124,fail
6,0.13599999999999995,win
5,0.9038999999999999,fail
6,1.8082,fail
1,0.0008000000000000001,win
3,0.1306,win
8,0.34730000000000005,win
1,0.0016,win
0,0.45630000000000004,win
5,0.07430000000000002,win
1,0.0048000000000000004,win
3,1.1436999999999997,fail
1,0.0154,win
5,0.4399,win
5,1.2802,fail
6,0.028800000000000003,win
1,0.0107,win
8,0.0371,win
5,0.0081,win
1,0.008599999999999998,win
7,0.8896000000000001,fail
9,0.4761,win
4,0.03660000000000001,win
6,0.022200000000000004,win
2,0.9767999999999999,fail
2,0.748,fail
5,0.18549999999999997,win
0,0.08490000000000002,win
6,0.20020000000000004,win
5,0.22559999999999997,win
6,0.1118,win
3,0.066,win
7,0.0757,win
2,0.101,win
0,0.023400000000000004,win
8,0.20450000000000002,win
8,0.051000000000000004,win
5,0.14539999999999997,win
4,0.41979999999999995,win
1,0.0013000000000000002,win
1,0.0013000000000000002,win
4,0.142,win
0,0.19979999999999995,win
3,0.10440000000000002,win
3,0.3246,win
7,0.025300000000000003,win
6,0.0091,win
1,0.0013000000000000002,win
6,0.007300000000000001,win
2,0.04030000000000001,win
1,0.0194,win
9,0.3434,win
2,0.0451,win
8,0.028000000000000004,win
6,0.0092,win
1,0.0041,win
9,0.5949,fail
5,0.0756,win
2,0.005600000000000002,win
5,0.7068999999999999,win
4,0.0311,win
4,0.12320000000000002,win
2,0.09360000000000002,win
8,0.0571,win
3,0.31900000000000006,win
8,1.1269,fail
2,1.3293,fail
4,0.018000000000000002,win
5,0.7587,fail
0,0.0044,win
3,0.021500000000000005,win
1,0.0013000000000000002,win
7,0.0154,win
7,0.0164,win
5,0.6706999999999999,fail
7,0.0193,win
9,0.4496,win
7,0.025099999999999997,win
1,0.0013000000000000002,win
9,0.1085,win
2,0.0049,win
1,0.0017000000000000001,win
4,0.7726999999999999,fail
2,0.7840999999999999,win
9,0.098,win
2,0.0038000000000000004,win
0,0.004,win
4,1.5149999999999997,fail
9,0.3357,win
1,0.0018000000000000002,win
4,0.14010000000000003,win
8,0.854,fail
1,0.0018000000000000002,win
8,0.0309,win
4,0.1839,win
5,0.7209,fail
9,0.1024,win
8,0.6775999999999999,win
8,0.030600000000000002,win
3,0.0742,win
7,0.015400000000000004,win
6,0.0828,win
0,0.0025,win
0,0.014900000000000002,win
3,0.10479999999999999,win
0,1.1383999999999999,fail
2,0.6159,fail
6,1.8376000000000001,fail
6,0.0071,win
4,0.06740000000000002,win
9,1.5013,fail
3,0.2232,win
3,0.1719,win
3,0.0119,win
2,0.0043,win
3,0.4856000000000001,win
9,0.1859,win
1,0.0014000000000000002,win
2,0.26510000000000006,win
6,1.4111000000000002,fail
8,0.0488,win
0,0.023000000000000003,win
5,0.0742,win
6,0.011,win
6,0.4781000000000001,win
6,0.0125,win
3,0.39860000000000007,win
8,0.30069999999999997,win
8,0.21309999999999998,win
2,0.059800000000000006,win
7,0.5467000000000001,win
5,0.0187,win
8,0.028800000000000003,win
9,0.06749999999999999,win
6,0.0026,win
1,0.0017000000000000001,win
8,0.2102,win
4,0.018799999999999997,win
1,0.0026000000000000003,win
2,0.0133,win
5,1.1528,fail
9,0.6932,fail
1,0.0013000000000000002,win
9,0.0869,win
7,0.0299,win
5,1.6260999999999999,fail
4,0.14750000000000002,win
0,0.0142,win
8,1.1136,fail
9,0.1463,win
9,0.6304000000000001,fail
1,0.0014000000000000002,win
0,0.7866,win
5,0.027100000000000003,win
2,0.0392,win
3,0.0165,win
7,0.0208,win
8,1.129,fail
9,0.2062,win
4,0.7344999999999998,fail
0,0.9386,fail
6,0.0378,win
3,0.012900000000000003,win
9,0.49470000000000003,win
5,0.9056999999999998,fail
2,0.0043,win
1,0.0032000000000000006,win
3,0.9372999999999999,fail
1,0.0239,win
3,1.7031999999999998,fail
6,0.6000999999999999,fail
5,0.6246,win
7,0.4216000000000001,win
4,1.0907,fail
2,0.13630000000000003,win
2,0.013299999999999998,win
6,0.8684000000000001,win
3,1.8271000000000002,fail
2,1.2086999999999997,fail
6,0.007299999999999999,win
5,0.0439,win
4,0.3096,win
8,0.0708,win
9,0.45740000000000003,win
7,0.7334999999999999,fail
1,0.6095999999999999,win
3,0.044300000000000006,win
0,0.004,win
3,0.04640000000000001,win
8,0.5302,win
3,0.4611,win
1,0.001,win
9,1.2544999999999997,fail
3,0.9642,fail
4,0.2866,win
4,0.0863,win
6,0.006300000000000002,win
4,0.1175,win
2,0.9305000000000001,fail
1,0.0018000000000000002,win
8,0.29950000000000004,win
2,0.0021999999999999997,win
5,0.11290000000000001,win
4,0.041,win
8,0.6869000000000001,fail
8,0.8106000000000002,fail
4,0.0251,win
0,0.5073,win
0,0.0078,win
2,0.10459999999999998,win
3,0.6950000000000001,fail
2,0.31489999999999996,win
7,0.6496,fail
7,1.8654,fail
0,1.0586999999999998,fail
8,1.0061,fail
7,0.025600000000000005,win
4,0.0945,win
4,0.0427,win
7,0.3801,win
9,0.18029999999999996,win
6,0.0205,win
9,0.0957,win
0,0.006400000000000001,win
9,0.7696999999999999,fail
8,0.17959999999999995,win
0,0.008400000000000001,win
4,0.5773999999999999,fail
6,0.13769999999999996,win
0,0.0542,win
6,0.0081,win
3,1.1253999999999997,fail
5,0.0776,win
4,0.0735,win
8,1.1007999999999998,fail
3,0.056400000000000006,win
3,0.0113,win
9,0.4031,win
3,0.08850000000000001,win
3,0.2894,win
3,0.7942999999999999,fail
7,0.07379999999999999,win
8,0.04000000000000001,win
0,0.0052,win
8,1.7121,fail
2,0.0046,win
1,0.0009000000000000002,win
7,0.0155,win
0,0.011399999999999999,win
6,0.0178,win
5,0.3875,win
4,0.11550000000000002,win
3,0.026000000000000006,win
8,1.2508,fail
0,0.0083,win
9,0.0786,win
6,0.014499999999999999,win
3,0.24669999999999997,win
8,0.14659999999999998,win
0,0.7256999999999998,win
9,0.449,win
9,0.8592000000000001,fail
6,0.012199999999999999,win
8,0.1008,win
6,0.0075,win
8,0.22850000000000004,win
5,0.0131,win
7,1.0158999999999998,fail
8,0.9181,fail
6,0.009699999999999999,win
0,0.235,win
2,0.10350000000000001,win
4,0.29410000000000003,win
0,0.0221,win
2,0.7932,fail
2,1.4472,fail
3,0.8315000000000001,fail
1,0.0781,win
9,0.1203,win
7,0.16740000000000002,win
5,0.0632,win
1,0.1558,win
0,0.0052,win
8,0.19870000000000004,win
4,0.11510000000000001,win
6,0.029,win
2,0.3065,win
6,0.03710000000000001,win
7,0.009600000000000001,win
9,0.4827,win
3,1.7259000000000002,fail
2,1.2362,fail
9,0.3948,win
8,0.045000000000000005,win
2,0.1309,win
2,0.0043,win
9,0.9704999999999999,fail
2,0.07730000000000001,win
7,0.016399999999999998,win
3,0.1567,win
5,0.8348,win
9,0.0769,win
1,0.002,win
8,0.4522,win
0,0.0475,win
2,0.0037999999999999996,win
0,0.0032999999999999995,win
5,0.5845,fail
2,0.7679999999999997,fail
1,0.0016,win
3,0.022700000000000005,win
7,0.0187,win
6,0.08590000000000002,win
7,0.0187,win
1,0.0013000000000000002,win
2,0.5553,win
5,0.0868,win
8,0.3237,win
0,0.0056,win
3,0.07350000000000001,win
7,0.7968999999999999,fail
2,1.0853,fail
4,0.1264,win
0,1.1444999999999999,fail
9,0.0748,win
1,0.0008000000000000001,win
8,0.27499999999999997,win
6,0.007400000000000001,win
7,0.595,win
7,1.2335999999999998,fail
4,0.6795999999999999,fail
3,0.0655,win
4,0.1198,win
9,0.2948,win
1,0.0009000000000000001,win
9,0.4459,win
5,0.6596,fail
1,0.0013000000000000002,win
7,0.013600000000000003,win
3,0.025300000000000003,win
9,0.3505,win
7,0.1376,win
6,0.020399999999999995,win
9,0.13430000000000003,win
1,0.0021,win
3,0.1968,win
7,0.6742000000000001,win
8,1.0099,fail
3,0.015400000000000002,win
3,0.05349999999999999,win
6,0.11280000000000001,win
7,1.1312,fail
2,0.0324,win
8,1.7527,fail
5,0.0531,win
8,0.040600000000000004,win
5,1.147,fail
1,0.0021,win
1,0.0507,win
4,0.0455,win
4,0.0838,win
3,1.6481,fail
1,0.04240000000000001,win
0,0.0539,win
7,0.0217,win
7,0.20889999999999997,win
0,0.0076,win
7,0.0092,win
9,0.3948,win
4,0.21899999999999997,win
4,0.029699999999999997,win
8,0.0232,win
5,0.106,win
5,0.013299999999999998,win
4,0.035500000000000004,win
0,0.037300000000000014,win
8,0.27049999999999996,win
2,0.012300000000000002,win
1,0.0113,win
0,1.8134000000000001,fail
8,0.16830000000000003,win
4,0.021400000000000006,win
5,1.2166,fail
0,0.5875,win
4,0.017499999999999998,win
0,0.9859,fail
6,0.05660000000000001,win
1,0.0014000000000000002,win
7,0.4032,win
3,0.041800000000000004,win
2,1.2145,fail
6,0.11549999999999999,win
7,0.30540000000000006,win
2,0.003,win
6,0.0088,win
9,0.5409999999999999,fail
3,1.2715,fail
1,0.001,win
4,0.0506,win
6,0.09770000000000001,win
2,0.5251,win
5,0.11130000000000001,win
4,0.6029000000000001,fail
2,1.5716999999999999,fail
0,0.0059,win
6,0.009200000000000002,win
2,0.0681,win
1,0.0045,win
7,0.0108,win
3,0.1509,win
4,0.1999,win
1,0.0045000000000000005,win
0,0.007000000000000001,win
5,0.28630000000000005,win
4,0.05180000000000001,win
3,0.1604,win
1,0.0014000000000000002,win
1,0.004700000000000001,win
7,0.059000000000000004,win
4,0.1021,win
9,0.36779999999999996,win
9,0.19759999999999997,win
4,0.16800000000000004,win
8,0.23870000000000005,win
4,0.0484,win
0,0.012,win
2,0.007700000000000001,win
4,0.0347,win
5,0.61,fail
1,0.0086,win
1,0.001,win
6,0.0093,win
4,0.17040000000000002,win
7,0.5865,fail
1,0.0032,win
9,0.0712,win
4,0.11480000000000001,win
2,0.23910000000000003,win
4,0.027900000000000005,win
1,0.0013000000000000002,win
5,0.0869,win
5,0.0703,win
3,0.0471,win
8,1.2727,fail
3,0.0563,win
1,0.0009000000000000001,win
4,0.022,win
5,0.16580000000000006,win
6,0.22089999999999996,win
8,0.0844,win
9,0.0993,win
4,0.058300000000000005,win
1,0.0025,win
5,1.1062,fail
3,0.0415,win
8,0.0888,win
0,0.0071,win
3,0.1303,win
2,0.005,win
5,0.1536,win
1,0.0008000000000000001,win
2,0.08340000000000002,win
8,1.0596999999999999,fail
3,0.6186,win
4,0.10900000000000001,win
4,0.074,win
0,0.3577,win
8,0.05070000000000001,win
8,0.28609999999999997,win
3,0.0101,win
3,0.24,win
1,0.0014000000000000002,win
7,0.08080000000000001,win
3,0.008700000000000001,win
5,0.31810000000000005,win
9,0.36140000000000005,win
6,0.006800000000000001,win
3,0.006900000000000001,win
2,0.30510000000000004,win
6,0.04590000000000001,win
1,0.0415,win
3,0.05500000000000001,win
6,0.05830000000000001,win
0,0.031100000000000006,win
7,0.0547,win
2,0.1804,win
1,0.0031,win
7,0.0198,win
1,0.001,win
4,0.4329,win
2,0.2267,win
4,0.194,win
2,0.7540999999999999,fail
1,0.0021,win
7,0.0499,win
9,0.2212,win
6,0.07280000000000002,win
1,0.0015000000000000002,win
1,0.0109,win
2,0.31489999999999996,win
4,0.016499999999999997,win
8,1.4376,fail
1,0.003,win
7,0.0206,win
7,0.9163999999999999,fail
4,0.0263,win
8,1.2671000000000001,fail
0,0.0101,win
7,0.08560000000000001,win
3,0.0122,win
1,0.002,win
3,0.7283,fail
1,0.0015000000000000002,win
0,0.0154,win
7,0.0154,win
7,0.021800000000000003,win
0,0.012300000000000002,win
3,0.011700000000000002,win
5,0.45790000000000003,win
5,0.9979999999999999,fail
2,0.0054,win
7,1.0110000000000001,fail
6,0.0079,win
6,0.862,fail
9,0.5357000000000001,fail
2,0.25340000000000007,win
8,0.09280000000000001,win
3,0.6371000000000001,win
5,0.21550000000000002,win
2,0.1018,win
2,0.07150000000000001,win
5,0.028499999999999998,win
6,0.21180000000000002,win
0,0.013000000000000001,win
8,0.5040000000000001,win
2,0.0114,win
9,0.6684,win
2,0.0858,win
8,0.4255,win
8,0.8647999999999999,fail
8,0.10640000000000001,win
8,0.043899999999999995,win
7,0.0347,win
4,0.1381,win
9,0.24270000000000003,win
3,0.5329999999999999,win
0,0.09350000000000001,win
6,0.016,win
6,0.0233,win
3,0.21050000000000002,win
2,0.0043,win
1,0.0014000000000000002,win
3,1.0083,fail
2,0.2228,win
2,0.0047,win
9,1.0028,fail
3,0.5291000000000001,win
0,0.013200000000000002,win
0,0.04240000000000001,win
5,0.19929999999999998,win
7,1.0635,fail
8,0.2732,win
1,0.19619999999999999,win
4,0.023000000000000003,win
4,0.37060000000000004,win
6,0.0211,win
0,0.022300000000000004,win
2,0.006300000000000001,win
9,0.239,win
1,0.0091,win
4,0.0269,win
7,0.033999999999999996,win
