Digit,Cost,Win or Fail
7,0.0021999999999999997,win
2,0.07980000000000001,win
1,0.00030000000000000003,win
0,0.0016,win
4,0.004600000000000001,win
1,0.0005,win
4,0.0041,win
9,0.005900000000000001,win
5,1.7819,fail
9,0.2092,win
0,0.0061,win
6,0.1984,win
9,0.0018000000000000002,win
0,0.0012000000000000001,win
1,0.0022,win
5,0.10150000000000002,win
9,0.0038000000000000004,win
7,0.0086,win
3,0.575,fail
4,0.0068000000000000005,win
9,0.004200000000000001,win
6,0.005100000000000001,win
6,0.0179,win
5,0.07890000000000001,win
4,0.08040000000000003,win
0,0.006900000000000001,win
7,0.002,win
4,0.0108,win
0,0.0015,win
1,0.010499999999999999,win
3,0.0275,win
1,0.003,win
3,0.004300000000000001,win
4,1.5853999999999997,fail
7,0.018400000000000003,win
2,0.0015,win
7,0.3836,win
1,0.0005,win
2,0.133,win
1,0.0038,win
1,0.017800000000000003,win
7,0.0078000000000000005,win
4,0.004700000000000001,win
2,0.0027,win
3,0.4893,win
5,0.0549,win
1,0.0495,win
2,0.1491,win
4,0.0395,win
4,0.0004,win
6,0.0019000000000000002,win
3,0.0189,win
5,0.0055000000000000005,win
5,0.12079999999999999,win
6,0.533,fail
0,0.136,win
4,0.0006000000000000001,win
1,0.0005,win
9,0.0019,win
5,0.022600000000000006,win
7,0.0023,win
8,0.030900000000000004,win
9,0.39059999999999995,win
3,0.4413,win
7,0.0045,win
4,0.16379999999999995,win
6,1.7207,fail
4,0.0004,win
3,0.0046,win
0,0.0023,win
7,0.002,win
0,0.012499999999999999,win
2,0.2048,win
9,1.0068,fail
1,0.010500000000000002,win
7,0.06550000000000002,win
3,0.0081,win
2,0.06889999999999999,win
9,0.08670000000000001,win
7,0.0017000000000000001,win
7,0.009300000000000001,win
6,0.0044,win
2,0.001,win
7,0.002,win
8,0.0684,win
4,0.0032,win
7,0.011100000000000002,win
3,0.3711,win
6,0.0011,win
1,0.00030000000000000003,win
3,0.0138,win
6,0.0011,win
9,1.4111,fail
3,0.014199999999999999,win
1,0.12660000000000002,win
4,0.36619999999999997,win
1,0.4287,win
7,0.15319999999999998,win
6,0.1537,win
9,0.0033000000000000004,win
6,0.0019,win
0,0.006700000000000001,win
5,0.0835,win
4,0.0004,win
9,0.2994,win
9,0.0018,win
2,0.0194,win
1,0.0012000000000000001,win
9,0.011899999999999999,win
4,0.0035000000000000005,win
8,0.016300000000000002,win
7,0.8395999999999999,fail
3,0.007400000000000001,win
9,0.0011,win
7,0.0999,win
4,0.7637,fail
4,0.0677,win
4,0.0004,win
9,0.0054,win
2,1.1582000000000001,fail
5,0.11230000000000001,win
4,0.0115,win
7,0.009800000000000001,win
6,0.011799999999999998,win
7,0.1416,win
9,0.20589999999999997,win
0,1.1485,fail
5,0.0034000000000000002,win
8,0.0091,win
5,0.0125,win
6,0.0006000000000000001,win
6,0.0011,win
5,0.11080000000000001,win
7,0.015,win
8,0.0033,win
1,0.0008,win
0,0.005000000000000001,win
1,0.0006000000000000001,win
6,0.0005,win
4,0.0256,win
6,0.0016,win
7,0.0005,win
3,0.7008,fail
1,0.0005,win
7,1.3969,fail
1,0.0031000000000000003,win
8,0.0021999999999999997,win
2,0.0007000000000000001,win
0,0.0025,win
2,1.3518,fail
9,0.034100000000000005,win
9,1.3483,fail
5,0.0362,win
5,0.08360000000000001,win
1,0.001,win
5,0.05220000000000002,win
6,0.0055,win
0,0.0038000000000000004,win
3,0.11520000000000001,win
4,0.9726000000000001,fail
4,0.030600000000000002,win
6,0.0007000000000000001,win
5,0.05059999999999999,win
4,0.00030000000000000003,win
6,0.0047,win
5,0.1039,win
4,0.0021000000000000003,win
5,0.008000000000000002,win
1,0.0006000000000000001,win
4,0.024300000000000002,win
4,0.069,win
7,0.016,win
2,0.1306,win
3,0.034100000000000005,win
2,0.001,win
7,0.7241,fail
1,0.0006000000000000001,win
8,0.05330000000000001,win
1,0.0006000000000000001,win
8,0.0062,win
1,0.0008000000000000001,win
