Digit,Cost,Win or Fail
7,0.025100000000000004,win
2,0.0843,win
1,0.033800000000000004,win
0,0.0204,win
4,0.14870000000000003,win
1,0.0025,win
4,0.39959999999999996,win
9,1.0731000000000002,fail
5,0.9990999999999999,fail
9,0.5022,win
0,0.006900000000000001,win
6,0.0058000000000000005,win
9,0.037200000000000004,win
0,0.016499999999999997,win
1,0.013999999999999999,win
5,0.39470000000000005,win
9,0.0619,win
7,0.009599999999999997,win
3,0.9256,fail
4,0.046700000000000005,win
9,1.3634999999999997,fail
6,0.030100000000000005,win
6,0.006600000000000002,win
5,0.07490000000000001,win
4,0.07270000000000001,win
0,0.009099999999999999,win
7,0.039700000000000006,win
4,0.0263,win
0,0.0178,win
1,0.0078000000000000005,win
3,0.04920000000000001,win
1,0.0055,win
3,0.030000000000000002,win
4,1.8976,fail
7,0.2582,win
2,0.012400000000000001,win
7,0.0347,win
1,0.0021,win
2,0.1756,win
1,0.0028999999999999994,win
1,0.004700000000000001,win
7,0.45330000000000004,win
4,0.2582,win
2,0.11820000000000001,win
3,0.1699,win
5,0.1488,win
1,0.0706,win
2,0.015199999999999998,win
4,0.037700000000000004,win
4,0.12090000000000001,win
6,0.0043,win
3,0.025900000000000006,win
5,0.5363,fail
5,0.41640000000000005,win
6,0.0184,win
0,0.6321,win
4,0.11700000000000002,win
1,0.004600000000000001,win
9,0.048299999999999996,win
5,0.48829999999999996,win
7,0.0086,win
8,0.8387,fail
9,0.6212,fail
3,1.0747000000000002,fail
7,0.9147,fail
4,0.1596,win
6,0.7954,win
4,0.0432,win
3,0.052899999999999996,win
0,0.3567,win
7,0.5751,win
0,0.0143,win
2,0.486,win
9,1.0733,fail
1,0.0024999999999999996,win
7,0.5523999999999999,win
3,0.052300000000000006,win
2,0.9171999999999999,fail
9,0.1866,win
7,0.010800000000000002,win
7,0.5979,fail
6,0.0417,win
2,0.0036,win
7,0.1598,win
8,0.0788,win
4,0.031000000000000003,win
7,0.0187,win
3,0.4823,win
6,0.005200000000000001,win
1,0.0025,win
3,0.0729,win
6,0.0018000000000000002,win
9,0.5896,win
3,0.1768,win
1,0.0183,win
4,0.0715,win
1,0.007600000000000001,win
7,0.8557999999999999,fail
6,0.1179,win
9,0.0709,win
6,0.0144,win
0,0.016300000000000002,win
5,0.07940000000000001,win
4,0.1137,win
9,0.8842000000000001,fail
9,0.044700000000000004,win
2,0.5376999999999998,win
1,0.0619,win
9,0.10220000000000001,win
4,0.107,win
8,0.8717,fail
7,0.5679,fail
3,0.3287,win
9,0.05829999999999999,win
7,0.6718000000000002,win
4,0.1185,win
4,0.1961,win
4,0.1245,win
9,0.0478,win
2,1.0672,fail
5,0.17320000000000002,win
4,0.06689999999999999,win
7,0.5891,win
6,0.018900000000000004,win
7,1.8461,fail
9,0.24180000000000001,win
0,0.5068999999999999,win
5,0.06770000000000001,win
8,0.035699999999999996,win
5,0.06490000000000001,win
6,0.0018,win
6,0.014799999999999999,win
5,0.3839,win
7,0.6016999999999999,win
8,0.035500000000000004,win
1,0.0023000000000000004,win
0,0.6093000000000001,win
1,0.0051,win
6,0.007100000000000001,win
4,1.0486,fail
6,0.006600000000000001,win
7,0.09720000000000001,win
3,0.3007,win
1,0.0045,win
7,0.2201,win
1,0.0088,win
8,0.030600000000000002,win
2,0.007600000000000001,win
0,0.034100000000000005,win
2,0.7014999999999999,fail
9,0.1406,win
9,1.1339000000000001,fail
5,0.25689999999999996,win
5,0.10920000000000002,win
1,0.0029,win
5,0.1095,win
6,0.0149,win
0,0.048499999999999995,win
3,0.033999999999999996,win
4,0.8506,win
4,0.23340000000000002,win
6,0.0243,win
5,0.0583,win
4,0.0144,win
6,0.0521,win
5,0.0343,win
4,0.12160000000000001,win
5,0.058700000000000016,win
1,0.0016,win
4,0.16849999999999998,win
4,0.3386,win
7,0.0329,win
2,0.8421,fail
3,0.03760000000000001,win
2,0.0045000000000000005,win
7,1.1358999999999997,fail
1,0.0035,win
8,0.0683,win
1,0.0016,win
8,0.0958,win
1,0.0027,win
8,0.14179999999999998,win
5,0.06530000000000001,win
0,0.0091,win
8,0.2258,win
9,0.2892,win
2,0.1333,win
5,0.8127999999999999,fail
0,0.14809999999999995,win
1,0.012900000000000002,win
1,0.011199999999999998,win
1,0.015900000000000004,win
0,0.20650000000000002,win
9,0.8213999999999999,fail
0,0.0178,win
3,0.2778,win
1,0.016,win
6,0.009500000000000001,win
4,0.0374,win
2,0.007,win
3,0.22719999999999999,win
6,0.0032,win
1,0.005300000000000001,win
1,0.002,win
1,0.032200000000000006,win
3,0.026799999999999997,win
9,0.0411,win
5,0.08820000000000001,win
2,0.0575,win
9,0.2318,win
4,0.2226,win
5,0.8089999999999999,fail
9,0.9467000000000001,fail
3,0.9181999999999998,fail
9,0.0256,win
0,0.0193,win
3,0.023200000000000005,win
6,0.1402,win
5,0.1403,win
5,0.2602,win
7,0.0657,win
2,0.011699999999999999,win
2,0.5431999999999999,fail
7,0.0187,win
1,0.0073,win
2,0.0942,win
8,0.1812,win
4,0.49460000000000004,win
1,0.0021999999999999997,win
7,0.0431,win
3,0.7542,fail
3,0.0808,win
8,0.06860000000000001,win
8,1.0503999999999998,fail
7,0.5001999999999999,win
9,1.0163000000000002,fail
2,0.0639,win
2,0.013500000000000002,win
4,0.0316,win
1,0.004700000000000001,win
5,0.4687,win
9,1.4843,fail
8,0.45050000000000007,win
7,0.9072999999999999,fail
2,0.6437,fail
3,0.6482,win
0,0.021500000000000002,win
4,0.12240000000000001,win
4,0.10289999999999999,win
2,0.08650000000000001,win
4,0.5571,fail
1,0.7232000000000002,win
9,0.1031,win
5,0.08280000000000001,win
7,0.0327,win
7,0.3324000000000001,win
2,0.148,win
8,0.24909999999999996,win
2,0.5132999999999999,win
6,1.0372,fail
8,0.059300000000000005,win
5,0.916,fail
7,0.009300000000000001,win
7,0.024100000000000003,win
9,0.7594,win
1,0.0031999999999999997,win
8,0.4596,win
1,0.0021,win
8,1.293,fail
0,0.04460000000000001,win
3,0.1572,win
0,0.016499999999999997,win
1,0.0048000000000000004,win
9,0.09540000000000001,win
9,0.9146000000000001,fail
4,0.2744,win
1,0.0025999999999999994,win
8,0.09790000000000001,win
2,0.11620000000000001,win
1,0.0021,win
2,0.025099999999999997,win
9,0.08130000000000001,win
7,0.6134000000000001,win
5,0.07350000000000002,win
9,0.1128,win
2,0.016100000000000003,win
6,0.11030000000000001,win
4,0.0872,win
1,0.020200000000000003,win
5,0.2476,win
8,1.1503999999999999,fail
2,0.8703,fail
9,0.05669999999999999,win
2,0.014499999999999997,win
0,0.047200000000000006,win
4,0.047299999999999995,win
0,0.0044,win
0,0.20049999999999996,win
2,0.009300000000000001,win
8,0.6422,fail
4,0.25279999999999997,win
7,0.9363999999999999,fail
1,0.0025,win
2,0.5323,win
4,0.14959999999999998,win
0,0.11800000000000002,win
2,0.10630000000000002,win
7,0.5339999999999999,win
4,0.0443,win
3,0.0174,win
3,0.18159999999999998,win
0,0.0121,win
0,0.014199999999999999,win
3,0.2944,win
1,0.0031999999999999997,win
9,0.2496,win
6,0.0138,win
5,0.4505,win
2,0.7659999999999999,win
5,0.0175,win
9,1.3159,fail
2,1.1567999999999998,fail
9,0.16510000000000002,win
3,0.14780000000000001,win
0,0.16369999999999998,win
4,0.9302999999999999,fail
2,0.25060000000000004,win
0,0.0047,win
7,0.0197,win
1,0.0021,win
1,0.0025999999999999994,win
2,0.23420000000000002,win
1,0.0016,win
5,0.0539,win
3,0.029599999999999998,win
3,0.024400000000000005,win
9,0.13430000000000003,win
7,0.0115,win
8,0.7606000000000002,fail
6,0.2842,win
5,0.7086,win
6,1.7241999999999997,fail
1,0.0016,win
3,0.06140000000000001,win
8,1.2273,fail
1,0.0122,win
0,0.3002,win
5,0.0766,win
1,0.0031,win
3,1.2526,fail
1,0.09179999999999999,win
5,0.167,win
5,1.3034999999999999,fail
6,0.06680000000000001,win
1,0.0115,win
8,0.0318,win
5,0.07230000000000002,win
1,0.012,win
7,0.9824000000000002,fail
9,0.13970000000000002,win
4,0.0449,win
6,0.0283,win
2,1.0701,fail
2,0.9599,fail
5,0.1252,win
0,0.0394,win
6,0.2136,win
5,0.052900000000000016,win
6,0.011500000000000002,win
3,0.3246,win
7,0.034100000000000005,win
2,0.062200000000000005,win
0,0.17050000000000007,win
8,0.059699999999999996,win
8,0.0797,win
5,0.04340000000000001,win
4,0.4424,win
1,0.0019000000000000002,win
1,0.0044,win
4,0.1833,win
0,0.1065,win
3,0.018000000000000002,win
3,0.2728999999999999,win
7,0.054900000000000004,win
6,0.0303,win
1,0.0013000000000000002,win
6,0.0219,win
2,0.1106,win
1,0.021800000000000003,win
9,0.3876,win
2,0.004800000000000001,win
8,0.0315,win
6,0.0341,win
1,0.0021,win
9,0.0689,win
5,0.09400000000000001,win
2,0.0181,win
5,0.05840000000000001,win
4,0.028499999999999998,win
4,0.1664,win
2,0.28009999999999996,win
8,0.273,win
3,0.5746999999999999,win
8,1.3576,fail
2,1.1313,fail
4,0.012999999999999998,win
5,0.05380000000000001,win
0,0.0532,win
3,0.020200000000000003,win
1,0.028100000000000007,win
7,0.0285,win
7,0.0295,win
5,0.5168,win
7,0.016,win
9,0.0299,win
7,0.0281,win
1,0.0018000000000000002,win
9,0.0581,win
2,0.006,win
1,0.0016,win
4,1.0198,fail
2,0.9632999999999999,fail
9,0.06720000000000001,win
2,0.004900000000000001,win
0,0.0059,win
4,0.30790000000000006,win
9,0.0722,win
1,0.0041,win
4,0.033600000000000005,win
8,0.9319,fail
1,0.004000000000000001,win
8,0.0309,win
4,0.3837,win
5,1.6238,fail
9,0.3943,win
8,0.0641,win
8,0.0552,win
3,0.09670000000000001,win
7,0.08030000000000001,win
6,0.0112,win
0,0.0044,win
0,0.022200000000000004,win
3,0.06770000000000001,win
0,1.4726000000000001,fail
2,1.1994999999999998,fail
6,1.8178,fail
6,0.0161,win
4,0.6388,fail
9,1.6418,fail
3,0.9294000000000002,fail
3,0.30949999999999994,win
3,0.0422,win
2,0.005000000000000001,win
3,0.017300000000000003,win
9,0.1059,win
1,0.0045,win
2,1.0871,fail
6,1.5887,fail
8,0.0723,win
0,0.07890000000000003,win
5,0.2836,win
6,0.046,win
6,0.0129,win
6,0.0018,win
3,0.8906,fail
8,0.15000000000000002,win
8,0.1035,win
2,0.0771,win
7,1.0371,fail
5,0.2535,win
8,0.044500000000000005,win
9,0.06459999999999999,win
6,0.0053,win
1,0.0023000000000000004,win
8,0.0335,win
4,0.174,win
1,0.0036,win
2,0.022,win
5,1.3059999999999998,fail
9,1.0227,fail
1,0.0045,win
9,0.0291,win
7,0.12459999999999999,win
5,1.6277,fail
4,0.0601,win
0,0.0352,win
8,0.8521,fail
9,0.7294,fail
9,0.0714,win
1,0.0016,win
0,0.8627,fail
5,0.1028,win
2,0.008300000000000002,win
3,0.0097,win
7,0.0152,win
8,0.7313,fail
