Digit,Cost,Win or Fail
7,0.022,win
2,0.14179999999999998,win
1,0.0015,win
0,0.0007000000000000001,win
4,0.1352,win
1,0.0015,win
4,0.05790000000000001,win
9,0.19600000000000004,win
5,1.8714000000000002,fail
9,0.7093,fail
0,0.0007000000000000001,win
6,0.18859999999999996,win
9,0.0683,win
0,0.001,win
1,0.0014,win
5,0.4398,win
9,0.2749,win
7,0.14350000000000002,win
3,0.7834,win
4,0.05790000000000001,win
9,0.0634,win
6,0.0747,win
6,0.007700000000000001,win
5,0.13509999999999997,win
4,0.20690000000000003,win
0,0.0007000000000000001,win
7,0.022,win
4,0.0514,win
0,0.0011,win
1,0.0015,win
3,0.11090000000000001,win
1,0.003,win
3,0.42600000000000005,win
4,1.5761,fail
7,0.0245,win
2,0.004700000000000001,win
7,0.020999999999999998,win
1,0.0004,win
2,0.4337,win
1,0.0015,win
1,0.0034000000000000002,win
7,0.0245,win
4,0.05790000000000001,win
2,0.0867,win
3,0.0099,win
5,0.0522,win
1,0.001,win
2,0.004700000000000001,win
4,0.05790000000000001,win
4,0.11560000000000001,win
6,0.0036,win
3,0.11240000000000001,win
5,0.45369999999999994,win
5,0.18259999999999996,win
6,0.39990000000000003,win
0,0.0007000000000000001,win
4,0.05790000000000001,win
1,0.0015,win
9,0.2471,win
5,0.04139999999999999,win
7,0.21319999999999995,win
8,1.1269,fail
9,0.30760000000000004,win
3,1.827,fail
7,0.022,win
4,0.06470000000000001,win
6,0.0083,win
4,0.11560000000000001,win
3,0.0626,win
0,0.025,win
7,0.12260000000000001,win
0,0.0007000000000000001,win
2,0.0102,win
9,1.2346,fail
1,0.0009,win
7,0.1596,win
3,0.0102,win
2,0.8256999999999999,fail
9,0.899,fail
7,0.022,win
7,0.5971,fail
6,0.0036000000000000003,win
2,0.004700000000000001,win
7,0.022,win
8,0.024100000000000003,win
4,0.05790000000000001,win
7,0.022,win
3,0.2814,win
6,0.0036000000000000003,win
1,0.0018000000000000002,win
3,0.009000000000000001,win
6,0.0036000000000000003,win
9,0.2178,win
3,0.0099,win
1,0.0018000000000000002,win
4,0.10920000000000002,win
1,0.1915,win
7,0.022,win
6,0.0032,win
9,0.21990000000000004,win
6,0.0036000000000000003,win
0,0.001,win
5,0.0175,win
4,0.0608,win
9,0.3002,win
9,0.1113,win
2,0.007600000000000002,win
1,0.007500000000000001,win
9,0.0683,win
4,0.11560000000000001,win
8,0.04220000000000001,win
7,0.6757,fail
3,0.018299999999999997,win
9,0.06459999999999999,win
7,0.024,win
4,0.064,win
4,0.06180000000000001,win
4,0.0684,win
9,0.1859,win
2,1.4922,fail
5,0.0268,win
4,0.12129999999999999,win
7,0.022,win
6,0.0036000000000000003,win
7,1.5089,fail
9,1.1153,fail
0,0.13400000000000004,win
5,0.021900000000000003,win
8,0.024800000000000003,win
5,0.005600000000000001,win
6,0.0036000000000000003,win
6,0.0036000000000000003,win
5,0.0161,win
7,0.081,win
8,0.016000000000000004,win
1,0.0014,win
0,0.0007000000000000001,win
1,0.002,win
6,0.0036000000000000003,win
4,0.11950000000000002,win
6,0.0029,win
7,0.0245,win
3,0.03350000000000001,win
1,0.0014,win
7,0.026700000000000005,win
1,0.0015,win
8,0.024800000000000003,win
2,0.004700000000000001,win
0,0.0007000000000000001,win
2,1.6411,fail
9,0.9138,fail
9,0.9458000000000001,fail
5,0.08990000000000001,win
5,0.011100000000000002,win
1,0.0008000000000000001,win
5,0.24080000000000001,win
6,0.0027,win
0,0.0022,win
3,0.0543,win
4,0.1765,win
4,0.05790000000000001,win
6,0.0023,win
5,0.018300000000000004,win
4,0.0817,win
6,0.0036000000000000003,win
5,0.3745,win
4,0.16130000000000003,win
5,0.9910999999999999,fail
1,0.0014,win
4,0.05790000000000001,win
4,0.057800000000000004,win
7,0.022,win
2,0.1217,win
3,0.0394,win
2,0.004700000000000001,win
7,0.3889,win
1,0.0009,win
8,0.024800000000000003,win
1,0.0015,win
8,0.016100000000000003,win
1,0.0016,win
8,0.04220000000000001,win
5,0.0397,win
0,0.0007000000000000001,win
8,0.049600000000000005,win
9,1.3304,fail
2,0.014299999999999998,win
5,0.056499999999999995,win
0,0.0007000000000000001,win
1,0.0012000000000000001,win
1,0.0105,win
1,0.0183,win
0,0.0027,win
9,0.9928000000000001,fail
0,0.0007000000000000001,win
3,1.6459000000000001,fail
1,0.003,win
6,0.0036000000000000003,win
4,0.058300000000000005,win
2,0.004300000000000001,win
3,0.0874,win
6,0.0036000000000000003,win
1,0.1046,win
1,0.0015,win
1,0.0014,win
3,0.0104,win
9,0.0683,win
5,0.08230000000000001,win
2,0.0038,win
9,0.5756000000000001,fail
4,0.1125,win
5,0.7555,fail
9,0.36350000000000005,win
3,0.0178,win
9,0.0625,win
0,0.1031,win
3,0.009000000000000001,win
6,1.4067,fail
5,0.0674,win
5,0.03570000000000001,win
7,0.026700000000000005,win
2,0.007000000000000001,win
2,1.1315,fail
7,0.022,win
1,0.003,win
2,0.8074999999999999,fail
8,0.0095,win
4,0.0681,win
1,0.0014,win
7,0.022,win
3,0.0524,win
3,0.054700000000000006,win
8,0.9630000000000001,fail
8,0.9805,fail
7,0.0853,win
9,0.2537,win
2,0.007100000000000001,win
2,0.004700000000000001,win
4,0.05790000000000001,win
1,0.0008000000000000001,win
5,0.1229,win
9,1.5783,fail
8,0.5569999999999999,win
7,0.0237,win
2,0.8167,win
3,1.7316000000000003,fail
0,0.0007000000000000001,win
4,0.2289,win
4,0.11560000000000001,win
2,0.004700000000000001,win
4,0.05790000000000001,win
1,0.1771,win
9,0.0683,win
5,0.030699999999999998,win
7,0.022,win
7,0.1084,win
2,0.1038,win
8,1.8133,fail
2,0.004700000000000001,win
6,1.6152,fail
8,0.024800000000000003,win
5,1.3803999999999998,fail
7,0.022,win
7,0.022,win
9,0.7486999999999999,fail
1,0.0014,win
8,0.6732,fail
1,0.0011,win
8,0.7936,fail
0,0.23220000000000002,win
3,0.21330000000000005,win
0,0.0016,win
1,0.0007000000000000001,win
9,0.06930000000000001,win
9,0.26789999999999997,win
4,0.0608,win
1,0.0014,win
8,0.024800000000000003,win
2,0.004700000000000001,win
1,0.0017000000000000001,win
2,0.005000000000000001,win
9,0.0683,win
7,0.0428,win
5,0.0175,win
9,0.2823,win
2,0.004700000000000001,win
6,0.0479,win
4,0.0779,win
1,0.0015,win
5,0.24819999999999998,win
8,1.5817,fail
2,0.004700000000000001,win
9,0.2823,win
2,0.004700000000000001,win
0,0.0007000000000000001,win
4,0.0795,win
0,0.0007000000000000001,win
0,0.0027,win
2,0.004700000000000001,win
8,0.04220000000000001,win
4,0.33880000000000005,win
7,0.022,win
1,0.0004,win
2,0.9487000000000001,fail
